,Unnamed: 0,english,portuguese
0,0,you,tu
1,1,i,eu
2,2,the,a
3,3,to,para
4,4,a,uma
5,5,it,isto
6,6,and,e
7,7,that,que
8,8,is,é
9,9,in,dentro
10,10,what,que
11,11,we,nós
12,12,me,mim
13,13,this,esta
14,14,he,ele
15,15,for,por
16,16,my,minha
17,17,on,em
18,18,your,sua
19,19,do,Faz
20,20,was,estava
21,21,no,não
22,22,not,não
23,23,be,ser
24,24,are,estão
25,25,don,vestir
26,26,know,conhecer
27,27,can,posso
28,28,but,mas
29,29,all,tudo
30,30,so,então
31,31,just,apenas
32,32,there,lá
33,33,here,aqui
34,34,they,elas
35,35,like,Como
36,36,get,obter
37,37,she,ela
38,38,go,vai
39,39,if,E se
40,40,right,direita
41,41,out,Fora
42,42,about,cerca de
43,43,up,acima
44,45,him,ele
45,46,now,agora
46,47,one,um
47,48,come,venha
48,49,well,Nós vamos
49,50,her,sua
50,51,how,como
51,52,will,vontade
52,53,got,obteve
53,54,want,querer
54,55,think,acho
55,56,as,como
56,57,see,Vejo
57,58,did,fez
58,59,who,quem
59,60,why,Por quê
60,61,from,a partir de
61,62,let,deixar
62,63,his,seu
63,64,yes,sim
64,65,when,quando
65,66,going,indo
66,67,time,Tempo
67,68,okay,ok
68,69,back,costas
69,70,look,olhar
70,71,us,nós
71,72,would,seria
72,73,them,eles
73,74,where,Onde
74,75,were,estavam
75,76,take,leva
76,77,then,então
77,78,had,tive
78,79,been,estive
79,80,our,nosso
80,81,gonna,vai
81,82,tell,dizer
82,83,really,verdade
83,84,man,cara
84,85,some,algum
85,86,say,dizer
86,87,hey,Ei
87,88,by,de
88,89,need,necessidade
89,90,something,alguma coisa
90,91,has,tem
91,92,too,também
92,93,more,mais
93,94,way,maneira
94,95,down,baixa
95,96,make,fazer
96,97,very,muito
97,98,never,Nunca
98,99,people,pessoas
99,100,because,Porque
100,101,little,pouco
101,102,please,por favor
102,103,love,amar
103,104,should,deve
104,105,mean,quer dizer
105,107,give,dar
106,108,off,fora
107,109,am,sou
108,110,thank,agradecer
109,111,any,algum
110,112,two,dois
111,113,even,até
112,114,much,Muito de
113,115,doing,fazendo
114,116,sure,certo
115,117,thing,coisa
116,118,these,esses
117,119,help,ajuda
118,120,first,primeiro
119,121,into,para dentro
120,122,anything,nada
121,123,still,ainda
122,124,find,encontrar
123,125,life,vida
124,126,nothing,nada
125,127,sir,Senhor
126,128,day,dia
127,129,god,Deus
128,130,work,trabalhar
129,131,their,seus
130,132,again,novamente
131,133,maybe,pode ser
132,134,before,antes
133,135,other,outro
134,136,wait,esperar
135,137,stop,Pare
136,138,call,ligar
137,139,after,depois
138,140,talk,conversa
139,141,away,longe
140,142,than,que
141,143,thought,pensamento
142,144,home,casa
143,145,put,por
144,146,great,excelente
145,147,those,Essa
146,148,last,último
147,149,better,melhorar
148,150,everything,tudo
149,151,told,contou
150,152,new,novo
151,153,things,coisas
152,154,always,sempre
153,155,keep,continuar
154,156,long,grandes
155,157,years,anos
156,158,leave,deixar
157,159,does,faz
158,160,money,dinheiro
159,161,around,por aí
160,162,name,nome
161,163,place,lugar
162,164,ever,sempre
163,165,feel,sentir
164,166,guys,caras
165,167,father,pai
166,168,guy,cara
167,169,made,feito
168,170,old,velho
169,171,which,que
170,172,big,grande
171,173,lot,muitos
172,174,done,feito
173,175,hello,olá
174,176,nice,bom
175,177,believe,acreditam
176,178,girl,menina
177,179,someone,alguém
178,180,fine,multar
179,181,thanks,obrigado
180,182,wanted,procurado
181,183,kind,Gentil
182,184,coming,chegando
183,185,house,lar
184,186,every,cada
185,187,through,Através dos
186,188,being,sendo
187,189,course,curso
188,190,stay,fica
189,191,left,deixou
190,192,dad,Papai
191,193,enough,suficiente
192,194,happened,ocorrido
193,195,came,veio
194,196,may,maio
195,197,mother,mãe
196,198,wrong,errado
197,199,world,mundo
198,200,might,poderia
199,201,three,três
200,202,today,hoje
201,203,listen,ouço
202,204,another,outro
203,205,understand,Compreendo
204,206,hear,ouvir
205,207,remember,lembrar
206,208,ask,perguntar
207,209,own,ter
208,210,show,exposição
209,211,else,senão
210,212,kill,matar
211,213,talking,conversando
212,214,next,Next
213,215,getting,recebendo
214,216,care,Cuidado
215,217,car,carro
216,218,looking,olhando
217,219,son,filho
218,220,try,experimentar
219,221,woman,mulher
220,222,went,fui
221,223,dead,morta
222,224,many,muitos
223,225,mind,mente
224,226,wasn,não era
225,227,friend,amigo
226,228,best,melhor
227,229,mom,mamãe
228,230,hell,inferno
229,231,morning,manhã
230,232,trying,tentando
231,233,boy,Garoto
232,234,together,juntos
233,235,yourself,você mesma
234,236,job,trabalho
235,237,saw,Serra
236,238,family,família
237,239,real,real
238,240,without,sem
239,241,baby,bebê
240,242,room,sala
241,243,wouldn,não
242,244,already,já
243,245,move,jogada
244,246,seen,visto
245,247,live,viver
246,248,miss,senhorita
247,249,actually,na realidade
248,250,shit,merda
249,251,both,Ambas
250,252,heard,ouvi
251,253,once,uma vez
252,254,ready,pronto
253,255,head,cabeça
254,256,called,chamado
255,257,used,usado
256,258,idea,idéia
257,259,hold,aguarde
258,260,happy,feliz
259,261,door,porta
260,262,such,tal
261,263,also,Além disso
262,264,bit,pedaço
263,265,took,tomou
264,266,haven,refúgio
265,267,yet,ainda
266,268,men,homens
267,269,whole,inteira
268,270,start,começar
269,271,use,usar
270,272,while,enquanto
271,273,since,Desde a
272,274,wife,esposa
273,275,days,dias
274,276,guess,adivinhar
275,277,tomorrow,amanhã
276,278,matter,matéria
277,279,meet,Conheça
278,280,bring,trazer
279,281,tonight,esta noite
280,282,everyone,todos
281,283,run,correr
282,284,wanna,quer
283,285,hard,Difícil
284,286,alone,sozinho
285,287,myself,Eu mesmo
286,288,school,escola
287,289,gone,se foi
288,290,end,fim
289,291,saying,dizendo
290,292,phone,telefone
291,293,play,Toque
292,294,looks,parece
293,295,couldn,não poderia
294,296,fucking,porra
295,297,problem,problema
296,298,few,alguns
297,299,friends,amigos
298,300,gotta,preciso
299,301,ago,atrás
300,302,open,abrir
301,303,anyone,alguém
302,304,killed,morto
303,305,hope,esperança
304,306,face,Rosto
305,307,until,até
306,308,police,polícia
307,309,excuse,com licença
308,310,turn,virar
309,311,business,o negócio
310,312,case,caso
311,313,wants,quer
312,314,TRUE,VERDADE
313,315,die,morrer
314,316,each,cada
315,317,worry,preocupar
316,318,later,mais tarde
317,319,year,ano
318,320,music,música
319,321,having,tendo
320,322,probably,provavelmente
321,323,beautiful,bonito
322,324,doctor,doutor
323,325,sit,sentar
324,326,eat,comer
325,327,thinking,pensamento
326,328,young,novo
327,329,second,segundo
328,330,water,agua
329,331,person,pessoa
330,332,part,papel
331,333,kids,crianças
332,334,stuff,rechear
333,335,exactly,exatamente
334,336,under,debaixo
335,337,death,morte
336,338,minute,minuto
337,339,pay,pagar
338,340,crazy,louco
339,341,forget,esquecer
340,342,everybody,todo o mundo
341,343,kid,miúdo
342,344,change,mudança
343,345,gave,deu
344,346,damn,droga
345,347,five,cinco
346,348,drink,beber
347,349,far,distante
348,350,knows,sabe
349,351,whatever,qualquer que seja
350,352,eyes,olhos
351,353,shut,fechar
352,354,aren,are
353,355,hit,bater
354,356,taking,levando
355,357,easy,fácil
356,358,times,vezes
357,359,check,Verifica
358,360,hands,mãos
359,361,minutes,minutos
360,362,deal,acordo
361,363,different,diferente
362,364,means,meios
363,365,point,apontar
364,366,inside,dentro
365,367,makes,faz
366,368,asked,Perguntou
367,369,somebody,alguém
368,370,mine,minha
369,371,making,fazer
370,372,body,corpo
371,373,afraid,com medo
372,374,sleep,dorme
373,375,chance,chance
374,376,dear,querida
375,377,quite,bastante
376,378,four,quatro
377,379,anyway,qualquer maneira
378,380,close,perto
379,381,party,Festa
380,382,against,contra
381,383,word,palavra
382,384,important,importante
383,385,set,definir
384,386,story,história
385,388,least,ao menos
386,389,waiting,esperando
387,390,hurt,ferir
388,391,wish,desejo
389,392,moment,momento
390,393,fight,lutar
391,394,week,semana
392,395,girls,garotas
393,396,rest,descanso
394,397,married,casado
395,398,fire,incêndio
396,399,game,jogos
397,400,nobody,ninguém
398,401,children,crianças
399,402,stand,ficar de pé
400,403,read,leitura
401,404,cut,cortar
402,405,started,começado
403,406,sister,irmã
404,407,supposed,suposto
405,408,between,entre
406,409,goes,vai
407,410,hours,horas
408,411,speak,falar
409,413,behind,atras do
410,414,almost,quase
411,415,truth,verdade
412,416,blood,sangue
413,417,able,capaz
414,418,lady,senhora
415,419,anymore,não mais
416,420,playing,jogando
417,422,shot,tomada
418,423,reason,razão
419,424,trouble,dificuldade
420,425,break,pausa
421,426,war,guerra
422,427,city,cidade
423,428,walk,caminhar
424,429,town,Cidade
425,430,trust,Confiar em
426,431,met,conheceu
427,432,office,escritório
428,433,question,pergunta
429,434,brought,trouxeram
430,435,yours,Sua
431,436,welcome,receber
432,437,high,Alto
433,438,couple,casal
434,439,died,faleceu
435,440,cool,frio
436,441,free,gratuitamente
437,442,either,ou
438,443,seems,parece
439,444,power,potência
440,445,bye,tchau
441,446,telling,Dizer
442,447,honey,querida
443,448,front,frente
444,449,team,equipe
445,450,answer,responda
446,451,gun,arma de fogo
447,452,line,linha
448,453,send,mandar
449,454,stupid,estúpido
450,455,bed,cama
451,456,hurry,pressa
452,457,full,cheio
453,458,months,meses
454,459,save,Salve 
455,460,sometimes,as vezes
456,461,become,vir a ser
457,462,along,junto
458,464,food,Comida
459,465,outside,fora
460,466,light,leve
461,467,needs,precisa
462,468,dog,cão
463,469,country,país
464,470,clear,Claro
465,471,order,pedido
466,472,fact,facto
467,473,lord,senhor
468,474,captain,capitão
469,475,six,seis
470,476,hot,quente
471,477,funny,engraçado
472,478,black,Preto
473,479,mrs.,Sra.
474,480,alive,vivo
475,481,pick,escolha
476,482,living,vivo
477,483,cause,causa
478,484,ahead,à frente
479,485,lose,perder
480,486,king,rei
481,487,sighs,suspiros
482,488,sort,ordenar
483,489,leaving,deixando
484,490,shouldn,deveria
485,491,running,encontro
486,492,boss,patrão
487,493,alright,tudo bem
488,494,taken,levado
489,495,safe,seguro
490,496,book,livro
491,497,sent,enviei
492,498,white,branco
493,499,hour,hora
494,500,anybody,qualquer pessoa
495,501,small,pequeno
496,502,perfect,perfeito
497,503,cause,causa
498,504,lives,vidas
499,505,special,especial
500,506,parents,pais
501,507,john,João
502,508,himself,ele mesmo
503,509,perhaps,talvez
504,510,sounds,sons
505,511,serious,sério
506,512,sick,doente
507,513,company,companhia
508,514,scared,assustada
509,515,poor,pobre
510,516,red,vermelho
511,517,past,passado
512,518,earth,terra
513,519,possible,possível
514,520,shoot,atirar
515,521,touch,tocar
516,522,sound,som
517,523,top,topo
518,524,ass,bunda
519,525,laughs,ri
520,526,cannot,não podes
521,527,asking,Perguntando
522,528,win,vencer
523,529,glad,alegre
524,530,control,ao controle
525,531,hmm,Hmm
526,532,human,humano
527,533,drive,dirigir
528,534,hair,cabelo
529,535,jack,Jack
530,536,bitch,cadela
531,537,luck,sorte
532,538,murder,assassinato
533,539,happens,acontece
534,540,air,ar
535,541,ten,dez
536,542,finally,finalmente
537,543,chuckles,risadas
538,544,fast,velozes
539,545,laughing,rindo
540,546,words,palavras
541,547,hospital,hospital
542,548,street,rua
543,549,hang,aguentar
544,550,dance,dança
545,551,meeting,encontro
546,552,till,até
547,553,others,outros
548,554,catch,pegar
549,555,follow,Segue
550,556,sex,sexo
551,557,evening,tarde
552,558,master,mestre
553,559,known,conhecido
554,560,dream,Sonhe
555,561,write,escrever
556,562,million,milhão
557,563,voice,voz
558,564,sweet,doce
559,565,felt,sentiu
560,566,sign,sinal
561,567,somewhere,algum lugar
562,568,longer,mais tempo
563,569,calling,Chamando
564,570,worked,trabalhado
565,571,quiet,tranquilo
566,572,looked,visto
567,573,less,menos
568,574,pull,puxar
569,575,beat,bater
570,576,careful,cuidadoso
571,577,coffee,café
572,578,return,Retorna
573,579,weeks,semanas
574,580,weren,não estava
575,581,date,encontro
576,582,seeing,vendo
577,583,fall,cair
578,584,given,dado
579,585,ooh,ooh.
580,586,straight,Em linha reta
581,587,takes,leva
582,588,song,música
583,589,future,futuro
584,591,loved,amavam
585,592,changed,mudado
586,593,road,estrada
587,594,calm,calma
588,595,wonderful,Maravilhoso
589,596,mad,louco
590,598,drop,derrubar
591,599,ladies,senhoras
592,600,learn,aprender
593,601,step,Passo
594,602,absolutely,absolutamente
595,603,early,cedo
596,604,explain,explique
597,605,piece,pedaço
598,606,yesterday,ontem
599,607,throw,jogar
600,608,picture,foto
601,609,land,terra
602,610,feet,pés
603,611,wonder,maravilha
604,612,questions,questões
605,613,speaking,Falando
606,614,worth,valor
607,615,darling,querida
608,616,dude,parceiro
609,617,giving,dando
610,618,president,Presidente
611,619,eye,olho
612,620,quick,rápido
613,621,moving,movendo-se
614,622,figure,figura
615,623,state,Estado
616,624,strong,Forte
617,625,sam,Sam
618,626,none,Nenhum
619,627,amazing,incrível
620,628,ones,uns
621,629,works,funciona
622,631,needed,precisava
623,632,weird,estranhas
624,633,law,lei
625,634,worried,preocupado
626,635,report,relatório
627,636,goodbye,adeus
628,637,missing,ausente
629,638,choice,escolha
630,639,happening,acontecendo
631,640,chief,chefe
632,641,wedding,Casamento
633,642,strange,estranho
634,643,general,em geral
635,644,pain,dor
636,645,am,sou
637,646,kidding,brincando
638,647,decided,decidiu
639,648,pass,passar
640,649,tired,cansado
641,650,class,aula
642,651,officer,Policial
643,652,kept,manteve
644,653,wake,acordar
645,654,worse,pior
646,655,busy,ocupado
647,656,mistake,erro
648,657,kiss,beijo
649,658,court,tribunal
650,659,building,prédio
651,661,during,no decorrer
652,662,age,idade
653,663,ship,enviar
654,664,caught,apanhado
655,665,marry,casar
656,666,meant,significou
657,667,sell,vender
658,668,dark,Sombrio
659,669,watching,assistindo
660,670,system,sistema
661,671,suppose,suponha
662,672,evidence,Evidência
663,673,movie,filme
664,674,completely,completamente
665,675,mouth,boca
666,676,totally,totalmente
667,677,forgive,perdoar
668,678,imagine,Imagine
669,679,information,em formação
670,680,instead,em vez de
671,681,definitely,definitivamente
672,682,security,segurança
673,683,certainly,certamente
674,684,film,filme
675,685,month,mês
676,686,lying,deitado
677,687,unless,a não ser que
678,688,train,Comboio
679,689,seven,Sete
680,690,wear,vestir
681,691,clothes,roupas
682,692,michael,Michael
683,693,hotel,hotel
684,694,christmas,Natal
685,695,attack,ataque
686,696,hasn,Hasn
687,697,round,redondo
688,698,expect,Espero
689,699,sing,canta
690,700,terrible,Terrível
691,701,george,George.
692,702,bag,bolsa
693,703,history,história
694,704,blue,azul
695,705,near,aproximar
696,706,broke,quebrado
697,707,station,estação
698,708,seriously,a sério
699,709,forever,para todo sempre
700,710,david,David
701,711,frank,Frank.
702,712,except,exceto
703,713,thinks,pensa
704,714,message,mensagem
705,715,entire,inteira
706,716,table,tabela
707,717,talked,falou
708,718,across,através
709,719,rock,balançar
710,720,lovely,amável
711,721,handle,lidar com
712,722,middle,meio
713,723,buddy,camarada
714,724,paid,pago
715,725,protect,proteger
716,726,using,usando
717,727,floor,andar
718,728,ran,corrido
719,729,swear,jurar
720,730,spend,gastar
721,731,ring,anel
722,732,anywhere,em qualquer lugar
723,733,dangerous,perigoso
724,734,york,Iorque
725,735,army,exército
726,736,lead,conduzir
727,737,bought,comprou
728,738,finished,finalizado
729,739,fair,feira
730,740,sun,sol
731,741,letter,carta
732,742,fool,enganar
733,743,attention,atenção
734,744,club,clube
735,745,interesting,interessante
736,746,test,teste
737,747,box,caixa
738,748,group,grupo
739,749,single,solteiro
740,750,sitting,sentado
741,751,marriage,casado
742,752,join,Junte-se
743,753,peace,Paz
744,754,forgot,esquecido
745,755,force,força
746,756,short,baixo
747,757,present,presente
748,758,enjoy,aproveitar
749,759,mike,Mike
750,760,crime,crime
751,761,horse,cavalo
752,762,ground,terra
753,763,american,americano
754,764,area,área
755,766,honor,honra
756,767,lunch,almoço
757,768,miles,milhas
758,769,radio,rádio
759,770,idiot,idiota
760,771,ball,bola
761,772,surprise,surpresa
762,773,paper,papel
763,774,key,chave
764,775,boat,barco
765,776,quickly,rapidamente
766,777,bar,bar
767,778,fish,peixe
768,779,mark,marca
769,780,tom,Tom
770,781,wearing,vestindo
771,782,crying,chorando
772,783,accident,acidente
773,784,government,governo
774,785,eight,oito
775,786,fell,caiu
776,787,cover,cobrir
777,788,certain,certo
778,789,interested,interessado
779,790,deep,profundo
780,791,star,Estrela
781,792,sea,mar
782,793,agree,concordar
783,794,problems,Problemas.
784,795,detective,detetive
785,796,prison,prisão
786,797,major,formar-se
787,798,stick,Vara
788,799,difficult,difícil
789,800,smart,inteligente
790,801,personal,pessoal
791,802,record,registro
792,803,stopped,parado
793,804,hide,ocultar
794,805,whether,se
795,806,bank,banco
796,807,trip,viagem
797,808,relax,relaxar
798,809,america,América
799,810,public,público
800,811,list,Lista
801,812,afternoon,tarde
802,813,brain,cérebro
