english,portuguese
you,tu
i,eu
the,a
to,para
a,uma
it,isto
and,e
that,que
of,de
is,é
in,dentro
what,que
we,nós
me,mim
this,esta
he,ele
for,por
my,minha
on,em
have,tenho
your,sua
do,Faz
was,estava
no,não
not,não
be,ser
are,estão
don,vestir
know,conhecer
can,posso
with,com
but,mas
all,tudo
so,então
just,apenas
there,lá
here,aqui
they,elas
like,Como
get,obter
she,ela
go,vai
if,E se
right,direita
out,Fora
about,cerca de
up,acima
at,no
him,ele
now,agora
one,um
come,venha
well,Nós vamos
her,sua
how,como
will,vontade
got,obteve
want,querer
think,acho
as,como
see,Vejo
did,fez
good,Boa
who,quem
why,Por quê
from,a partir de
let,deixar
his,seu
yes,sim
when,quando
going,indo
time,Tempo
okay,ok
back,costas
look,olhar
us,nós
would,seria
them,eles
where,Onde
were,estavam
take,leva
then,então
had,tive
or,ou
been,estive
our,nosso
gonna,vai
tell,dizer
really,verdade
man,cara
some,algum
say,dizer
hey,Ei
could,poderia
by,de
need,necessidade
something,alguma coisa
has,tem
too,também
more,mais
way,maneira
down,baixa
make,fazer
very,muito
never,Nunca
only,só
people,pessoas
over,sobre
because,Porque
little,pouco
please,por favor
love,amar
should,deve
mean,quer dizer
said,disse
sorry,desculpe
give,dar
off,fora
am,sou
thank,agradecer
any,algum
two,dois
even,até
much,Muito de
doing,fazendo
sure,certo
thing,coisa
these,esses
help,ajuda
first,primeiro
into,para dentro
anything,nada
still,ainda
find,encontrar
life,vida
nothing,nada
sir,Senhor
day,dia
god,Deus
work,trabalhar
their,seus
again,novamente
maybe,pode ser
must,devo
before,antes
other,outro
wait,esperar
stop,Pare
call,ligar
after,depois
won,ganho
talk,conversa
away,longe
than,que
thought,pensamento
home,casa
night,noite
put,por
great,excelente
those,Essa
last,último
better,melhorar
everything,tudo
told,contou
mr.,Senhor.
new,novo
things,coisas
always,sempre
keep,continuar
long,grandes
years,anos
leave,deixar
does,faz
money,dinheiro
around,por aí
name,nome
place,lugar
ever,sempre
feel,sentir
guys,caras
father,pai
guy,cara
made,feito
old,velho
which,que
big,grande
lot,muitos
done,feito
hello,olá
nice,bom
believe,acreditam
girl,menina
someone,alguém
fine,multar
thanks,obrigado
wanted,procurado
kind,Gentil
coming,chegando
house,lar
every,cada
through,Através dos
being,sendo
course,curso
stay,fica
left,deixou
dad,Papai
enough,suficiente
happened,ocorrido
came,veio
may,maio
mother,mãe
